Date,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
2020-06-03,981.338134765625,347.80401611328125,629.2448120117188,706.6612548828125,1842.2110595703125
2020-06-04,961.6105346679688,339.03216552734375,634.805908203125,724.1483154296875,1883.085693359375
2020-06-05,991.9937744140625,348.1451416015625,631.0387573242188,725.019287109375,1844.1016845703125
2020-06-08,975.2422485351562,350.6792297363281,646.5557250976562,719.4270629882812,1865.25927734375
2020-06-09,947.7868041992188,339.71441650390625,643.6406860351562,704.5984497070312,1865.5296630859375
2020-06-10,952.1547241210938,344.05157470703125,642.071044921875,720.6417846679688,1898.571533203125
2020-06-11,929.8351440429688,332.5994873046875,631.3975830078125,704.8505859375,1861.56787109375
2020-06-12,943.4188842773438,335.47467041015625,620.7239379882812,728.2738037109375,1836.2239990234375
2020-06-15,911.8355712890625,322.706787109375,616.6878662109375,740.0770874023438,1827.58056640625
2020-06-16,950.7627563476562,334.25640869140625,628.9309692382812,741.5209350585938,1841.8958740234375
2020-06-17,940.05908203125,333.28173828125,631.12841796875,740.4437255859375,1843.6964111328125
2020-06-18,979.1301879882812,343.07696533203125,640.3219604492188,759.0310668945312,1834.9635009765625
2020-06-19,991.9937744140625,354.57781982421875,632.8325805664062,806.473388671875,1840.8154296875
2020-06-22,987.5779418945312,358.2327575683594,631.1732788085938,800.3998413085938,1825.8251953125
2020-06-23,1000.5855712890625,366.61474609375,646.3762817382812,788.8257446289062,1832.4427490234375
2020-06-24,991.1779174804688,339.2758483886719,640.5463256835938,792.011474609375,1838.65478515625
2020-06-25,987.5779418945312,342.102294921875,628.3031616210938,787.4506225585938,1815.15576171875
2020-06-26,1014.1693115234375,340.25048828125,671.0869140625,798.3370971679688,1907.6649169921875
2020-06-29,1032.9849853515625,334.4025573730469,656.3323364257812,789.8571166992188,1892.178955078125
2020-06-30,1023.1931762695312,342.5409240722656,660.0994873046875,781.125,1874.6229248046875
2020-07-01,1041.1927490234375,354.82147216796875,656.4668579101562,796.4806518554688,1883.5357666015625
2020-07-02,1045.80078125,353.65191650390625,678.62109375,806.9088745117188,1942.1475830078125
2020-07-03,1030.968994140625,351.84881591796875,684.092529296875,819.5371704101562,1980.41162109375
2020-07-06,1058.8563232421875,352.6772766113281,685.2584228515625,848.8276977539062,2037.6278076171875
2020-07-07,1060.92041015625,366.5173034667969,712.3010864257812,835.8325805664062,2043.65966796875
2020-07-08,1065.912109375,359.5973205566406,694.8556518554688,824.1668701171875,1997.7435302734375
2020-07-09,1079.9278564453125,360.9617919921875,701.1342163085938,836.19921875,1984.6436767578125
2020-07-10,1060.8721923828125,351.21533203125,701.2687377929688,860.860107421875,2000.849365234375
2020-07-13,1037.0169677734375,344.63641357421875,714.9021606445312,886.96484375,1998.7333984375
2020-07-14,1016.4733276367188,336.7904357910156,702.5243530273438,878.7140502929688,1955.47265625
2020-07-15,1011.0014038085938,337.03411865234375,745.3082885742188,845.2523193359375,2011.2479248046875
2020-07-16,1020.025390625,335.91326904296875,817.1079711914062,844.9772338867188,2016.52685546875
2020-07-17,1054.488525390625,344.831298828125,810.0669555664062,876.28466796875,1985.8465576171875
2020-07-20,1087.703857421875,353.7981262207031,838.0064697265625,880.0432739257812,1992.2987060546875
2020-07-21,1092.983642578125,369.19757080078125,840.2039794921875,903.7186279296875,2007.7735595703125
2020-07-22,1081.2718505859375,371.4393005371094,823.2968139648438,918.5930786132812,1977.0035400390625
2020-07-23,1085.1597900390625,382.306640625,814.3722534179688,943.25390625,1959.1827392578125
2020-07-24,1074.3118896484375,372.1215515136719,827.7366333007812,983.7517700195312,1946.7298583984375
2020-07-27,1036.2967529296875,349.4122009277344,850.6981811523438,988.3584594726562,1991.306396484375
2020-07-28,1043.1607666015625,343.1744384765625,863.614013671875,998.213623046875,2084.20263671875
2020-07-29,1021.9931030273438,342.1510009765625,855.810791015625,961.0619506835938,2053.793701171875
2020-07-30,1008.6015014648438,336.2057189941406,862.3583984375,966.6541748046875,2056.90673828125
2020-07-31,991.4659423828125,338.0087585449219,866.4393920898438,947.516845703125,2058.621826171875
2020-08-03,961.8984985351562,334.54876708984375,858.2772216796875,920.8849487304688,2034.031982421875
2020-08-04,999.9617309570312,342.102294921875,851.9537963867188,985.79150390625,2030.0167236328125
2020-08-05,986.426025390625,343.27191162109375,847.3346557617188,974.7216186523438,2038.8602294921875
2020-08-06,999.0496215820312,349.65582275390625,870.7894897460938,978.2282104492188,2082.714111328125
2020-08-07,1002.0736694335938,348.87615966796875,852.8956298828125,983.8892211914062,2071.209716796875
2020-08-10,1008.6015014648438,354.33416748046875,853.29931640625,971.6962890625,2059.884765625
2020-08-11,1023.961181640625,358.037841796875,850.6981811523438,978.0906982421875,2057.267578125
2020-08-12,1021.129150390625,357.5505065917969,856.5282592773438,975.248779296875,2036.9197998046875
2020-08-13,1016.665283203125,358.7200622558594,853.1647338867188,972.7047729492188,2034.3031005859375
2020-08-14,993.0498657226562,352.2386474609375,855.3172607421875,968.9231567382812,2023.2037353515625
2020-08-17,991.4179077148438,351.0691223144531,858.8153686523438,958.632568359375,2033.3555908203125
2020-08-18,1014.2173461914062,360.1820373535156,867.8297119140625,971.1004638671875,2048.108642578125
2020-08-19,1023.9132080078125,364.9578552246094,860.4299926757812,977.0593872070312,2036.24365234375
2020-08-20,1016.6172485351562,358.4277038574219,856.7075805664062,961.2452392578125,2032.859375
2020-08-21,1042.20068359375,361.74151611328125,851.0120239257812,954.2779541015625,2029.0247802734375
