,Mean Annual Return
HDFCBANK.NS,0.16348746517745938
ICICIBANK.NS,0.32046080293113766
INFY.NS,0.21420397094844684
RELIANCE.NS,0.17027431954182784
TCS.NS,0.14682270794882407
