,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
HDFCBANK.NS,0.05300210706699651,0.03175322550241438,0.014150059314949113,0.019198781081506865,0.010358192844260183
ICICIBANK.NS,0.03175322550241438,0.06363619515898133,0.015490020242468719,0.019862886912213783,0.009891719412028365
INFY.NS,0.014150059314949113,0.015490020242468719,0.06352189341790825,0.015211998884704288,0.037671954638359074
RELIANCE.NS,0.019198781081506865,0.019862886912213783,0.015211998884704288,0.06091661821678033,0.014722988647708478
TCS.NS,0.010358192844260183,0.009891719412028365,0.037671954638359074,0.014722988647708478,0.04744318279211655
