Stocks,Max Sharpe Weights,Min Volatility Weights
HDFCBANK.NS,0.12434703451932771,0.24293043756216273
ICICIBANK.NS,0.2999999999999998,0.15684127564277792
INFY.NS,0.29999999999999993,0.09207822605191374
RELIANCE.NS,0.19993063542869266,0.20815006074314565
TCS.NS,0.07572233005197994,0.3
