Stock,Max Sharpe Weight,Min Volatility Weight
HDFCBANK.NS,0.01741267100432283,0.24808746367577628
ICICIBANK.NS,0.5714911507836234,0.14508682760329164
INFY.NS,0.2537046928273342,0.046235693728460904
RELIANCE.NS,0.11846884465005095,0.19654417370752955
TCS.NS,0.03892264073466853,0.36404584128494166
