Alpha,Sharpe Ratio,Turnover
0,0.971068202377538,0.0021294264945452774
1,0.971049211813266,0.00209099655557563
5,0.9708499176903641,0.002
10,0.9705755159138804,0.0019721089828446934
20,0.9583728971332084,0.001154492000051186
50,0.9551319270245325,0.0010000070736492436
60,0.9551319152199361,0.0010000065362454618
100,0.8770005131404893,5.444244354224636e-09
