Portfolio Type,Return,Volatility,Sharpe Ratio
Max Sharpe,0.26621874856737365,0.18995044521767315,1.0856449866756452
Min Volatility,0.1838743227162559,0.16052775320740126,0.7716691988843246
Equal Weights,0.20304985330953912,0.16311267904292517,0.8770002071506271
