Alpha,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
α=0,0.10000000000000016,0.2999999999999999,0.3,0.2129426494545278,0.08705735054547208
α=1,0.10000000000000013,0.2999999999999999,0.3,0.20909965555756307,0.09090034444243683
α=5,0.10000000000000005,0.3,0.3,0.19999999999999996,0.09999999999999998
α=10,0.09999999999999999,0.3,0.29721089828446934,0.20000000000000004,0.10278910171553071
α=20,0.09999999999999995,0.3,0.21544920000511852,0.20000000000000007,0.18455079999488141
α=50,0.09999999999999992,0.3,0.20000070736492423,0.19999999999999987,0.19999929263507574
α=60,0.09999999999999973,0.3,0.2000006536245459,0.20000000000000032,0.1999993463754541
α=100,0.1999997277877823,0.20000027221221772,0.20000027221221772,0.2,0.1999997277877823
