,Expected Return,Volatility,Sharpe Ratio,Transaction Cost
base,0.22661545808751504,0.17100538784330355,0.9743287050124344,0.0
sector_only,0.22648320058389723,0.1710017498138176,0.973576005889764,0.0
tc_only,0.22661497342462777,0.17100489215793785,0.9743286950571238,1.8195622471281482e-07
combined,0.22648092469581904,0.17099941059704685,0.9735760147625571,0.000274163562535991
