Stocks,Previous Optimized Max Sharpe,New Optimized Max Sharpe (with bounds),Previous Optimized Min Volatility,New Optimized Min Volatility (with bounds)
HDFCBANK.NS,3.7990551981568675e-17,0.12434703451932771,0.2368605634100955,0.24293043756216273
ICICIBANK.NS,0.6793599521149557,0.2999999999999998,0.1562642311301226,0.15684127564277792
INFY.NS,0.2742781113739919,0.29999999999999993,0.06110132249677231,0.09207822605191374
RELIANCE.NS,0.046361936511052436,0.19993063542869266,0.1969664226323561,0.20815006074314565
TCS.NS,0.0,0.07572233005197994,0.3488074603306535,0.3
